Date,Wind,Zon
2021-11-30,718.6333958333333,
2021-12-01,658.3377083333332,
2021-12-02,441.46389583333337,
2021-12-03,486.98139583333335,
2021-12-04,378.11260416666664,
2021-12-05,149.65087499999998,
2021-12-06,345.7741875,
2021-12-07,534.2814999999999,
2021-12-08,608.6013333333334,
2021-12-09,399.6385208333333,
2021-12-10,476.5945208333333,
2021-12-11,262.2421458333333,
2021-12-12,490.4817291666667,
2021-12-13,279.48710416666665,
2021-12-14,247.47545833333334,
2021-12-15,205.09079166666666,
2021-12-16,14.529666666666666,
2021-12-17,108.6164375,
2021-12-18,70.25372916666667,
2021-12-19,70.92870833333333,
2021-12-20,43.00170833333333,
2021-12-21,35.98129166666667,
2021-12-22,141.18347916666664,
2021-12-23,439.65325,
2021-12-24,155.87485416666667,
