Datum,ANDERE,DERDEN,INFRABEL,NMBS
2023-11-15,2.3684762104380632,48.81576189478097,12.55501991196814,36.260741982812824
2023-12-15,2.910705476073014,37.29649728663049,16.23088307844105,43.56191415885545
2024-01-15,1.9490254872563721,34.33283358320839,18.11951167273506,45.59862925680017
2024-02-15,1.825942613232156,39.60161252074935,20.60706663504861,37.96537823096988
2024-03-15,2.968708210751538,32.73602567531426,27.868414014442372,36.42685209949184
2024-04-15,2.6587887740029537,42.21565731166913,17.2821270310192,37.843426883308716
2024-05-15,2.365208545269583,43.74364191251272,17.59918616480163,36.29196337741608
2024-06-15,3.141654978962132,37.69985974754558,20.05610098176718,39.10238429172511
2024-07-15,3.073604745214344,47.77568077648962,14.963602049069829,34.187112429226204
2024-08-15,4.115755627009646,39.67845659163987,17.331189710610932,38.87459807073955
